name,company,year,Price,kms_driven,fuel_type,kms_group
Santro Xing,Hyundai,2007,80000.0,45000.0,Petrol,25k-50k
Grand i10,Hyundai,2014,325000.0,28000.0,Petrol,25k-50k
EcoSport Titanium,Ford,2014,575000.0,36000.0,Diesel,25k-50k
Figo,Ford,2012,175000.0,41000.0,Diesel,25k-50k
Eon,Hyundai,2013,190000.0,25000.0,Petrol,0-25k
EcoSport Ambiente,Ford,2016,830000.0,24530.0,Diesel,0-25k
Suzuki Alto,Maruti,2015,250000.0,60000.0,Petrol,50k-100k
Fabia Classic,Skoda,2010,182000.0,60000.0,Petrol,50k-100k
Suzuki Stingray,Maruti,2015,315000.0,30000.0,Petrol,25k-50k
Elite i20,Hyundai,2014,415000.0,32000.0,Petrol,25k-50k
Scorpio SLE,Mahindra,2015,320000.0,48660.0,Diesel,25k-50k
A8,Audi,2017,1000000.0,4000.0,Petrol,0-25k
Q7,Audi,2014,500000.0,16934.0,Diesel,0-25k
Scorpio S10,Mahindra,2016,350000.0,43000.0,Diesel,25k-50k
Suzuki Alto,Maruti,2014,160000.0,35550.0,Petrol,25k-50k
Scorpio S10,Mahindra,2016,310000.0,39522.0,Diesel,25k-50k
Suzuki Alto,Maruti,2015,75000.0,39000.0,Petrol,25k-50k
i20 Sportz,Hyundai,2012,100000.0,55000.0,Petrol,50k-100k
Suzuki Alto,Maruti,2017,190000.0,72000.0,Petrol,50k-100k
Suzuki Vitara,Maruti,2016,290000.0,15975.0,Diesel,0-25k
Suzuki Alto,Maruti,2008,95000.0,70000.0,Petrol,50k-100k
Bolero DI,Mahindra,2017,180000.0,23452.0,Diesel,0-25k
Suzuki Swift,Maruti,2014,385000.0,35522.0,Diesel,25k-50k
Scorpio S10,Mahindra,2015,250000.0,48508.0,Diesel,25k-50k
Suzuki Swift,Maruti,2017,180000.0,15487.0,Petrol,0-25k
Suzuki Wagon,Maruti,2013,105000.0,39000.0,Petrol,25k-50k
Innova 2.0,Toyota,2012,650000.0,82000.0,Diesel,50k-100k
Lodgy 85,Renault,2018,689999.0,20000.0,Diesel,0-25k
